Team First Last             Ag    G   AB    R    H  2B 3B  HR  RBI  BB   SO    BA   OBP   SLG  SB  CS GDP HBP  SH  SF IBB  OPS
 CIN Elizardo Ramirez       24    4    5    2    1   0  0   0    0   0    0  .200  .200  .200   1   0   0   0   0   0   0    3
 CIN Kirk Saarloos          28   34    5    1    1   1  0   0    2   0    1  .200  .200  .400   0   0   0   0   1   0   0   48
 CIN Victor Santos          30   30    3    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   1   0   0 -100
 CIN Gary Majewski          27   32    2    0    0   0  0   0    0   0    2  .000  .000  .000   0   0   0   0   0   0   0 -100
 CIN Mike Stanton           40   67    2    0    0   0  0   0    0   0    0  .000  .000  .000   0   0   0   0   0   0   0 -100
 CHC Michael Barrett        30   57  211   23   54   9  0   9   29  17   36  .256  .307  .427   2   2   5   0   0   3   3   85
 CHC Derrek Lee             31  150  567   91  180  43  1  22   82  71  114  .317  .400  .513   6   5  15   9   0   3   8  131
 CHC Mark DeRosa            32  149  502   64  147  28  3  10   72  58   93  .293  .371  .420   1   2  17   7   3   4   2  102
 CHC Aramis Ramirez         29  132  506   72  157  35  4  26  101  43   66  .310  .366  .549   0   0  13   4   0   5   8  129
 CHC Ryan Theriot           27  148  537   80  143  30  2   3   45  49   50  .266  .326  .346  28   4  12   0   8   3   1   72
 CHC Alfonso Soriano        31  135  579   97  173  42  5  33   70  31  130  .299  .337  .560  19   6   9   4   0   3   4  123
 CHC Jacque Jones           32  135  453   52  129  33  2   5   66  34   70  .285  .335  .400   6   3  15   2   3   3   5   87
 CHC Cliff Floyd            34  108  282   40   80  10  1   9   45  35   47  .284  .373  .422   0   0   6   5   0   0   5  102
 CHC Matt Murton            25   94  235   35   66  13  0   8   22  26   39  .281  .352  .438   1   0   4   0   0   0   0  100
 CHC Mike Fontenot          27   86  234   32   65  12  4   3   29  22   43  .278  .336  .402   5   4   5   0   1   3   0   87
 CHC Cesar Izturis          27   65  191   15   47  11  0   0    8  13   16  .246  .298  .304   3   0   6   1   2   0   2   54
 CHC Felix Pie              22   87  177   26   38   9  3   2   20  14   43  .215  .271  .333   8   1   0   0   2   1   0   53
 CHC Jason Kendall          33   57  174   21   47  10  1   1   19  19   15  .270  .362  .356   0   3   1   6   3   0   2   84
 CHC Angel Pagan            25   71  148   21   39  10  2   4   21  10   32  .264  .306  .439   4   1   0   0   1   2   0   87
 CHC Daryle Ward            32   79  110   16   36  13  0   3   19  22   23  .327  .436  .527   0   0   6   0   0   1   8  144
 CHC Koyie Hill             28   36   93    7   15   4  0   2   12   8   18  .161  .231  .269   0   0   4   1   1   2   0   27
 CHC Ronny Cedeno           24   38   74    6   15   2  0   4   13   3   18  .203  .231  .392   2   1   0   0   2   1   0   55
 CHC Henry Blanco           35   22   54    3    9   3  0   0    4   2   12  .167  .193  .222   0   0   0   0   1   1   0    6
 CHC Geovany Soto           24   18   54   12   21   6  0   3    8   5   14  .389  .433  .667   0   0   1   0   0   1   0  175
 CHC Craig Monroe           30   23   49    6   10   4  0   1    4   6   13  .204  .291  .347   0   1   3   0   0   0   0   62
 CHC Rob Bowen              26   10   31    3    2   1  0   0    2   4   13  .065  .167  .097   0   0   2   0   0   1   0  -30
 CHC Jake Fox               24    7   14    3    2   2  0   0    1   1    2  .143  .200  .286   0   0   1   0   0   0   0   22
